Job,Tool,a,b,ns/op,memUsage
 16122BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,13574579286,16122
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,12659272908,16125
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10630460327,16128
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10925255836,16131
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10969161407,16134
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10618877603,16135
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,11099765300,16138
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,12237335887,16141
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10554446671,16143
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,13023739733,16147
 16146BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21714601,16010
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21901302,15933
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,23460846,15863
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22123204,15792
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21260207,15670
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22594950,15614
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21053263,15560
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25372055,15497
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25681007,15426
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,28390885,15394
 15394BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,28401921,15379
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,30081928,15364
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,29924678,15339
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,30264485,15324
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,29191097,15315
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,32015360,15304
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33459920,15297
