Job,Tool,a,b,ns/op
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10925255836
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10969161407
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10618877603
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,11099765300
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,12237335887
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10554446671
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,13023739733
 16146BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21714601
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21901302
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,23460846
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22123204
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21260207
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22594950
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21053263
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25372055
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25681007
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,28390885
 15394BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,28401921
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,30081928
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,29924678
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,30264485
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,29191097
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,32015360
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33459920
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33688211
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,34778684
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33762072
 15279BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,47209322
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44430042
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44565114
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,41329765
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44500583
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42929620
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42801162
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42326881
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42003697
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,39343141
 15493BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,151593295
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,149146731
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,155689378
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,141762066
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,147136337
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,146599190
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,144467067
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,147454958
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,145620372
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,143125402
 15662BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1211131125
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1312905698
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1322018850
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1348238984
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1285374672
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1055692377
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1277251892
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1310957378
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1315065756
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1286403249
 15677BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13092496774
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,12746375681
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14054321730
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13233051968
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13025041921
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13035583540
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14114897733
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14301144819
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,15786615172
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14822212019
 15693BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23679177
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23252267
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23431400
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21961023
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21729885
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21864590
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,20497859
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21104587
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21093569
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,20261615
 15231BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17447937
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17321351
