Job,Tool,a,b,memUsage
 162717BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162717
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162644
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162571
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162498
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162426
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162353
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162281
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162208
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162136
BenchmarkBedopsIntervalOverlapMem10mi_100-13           ,BedopsOverlap,10000000,100,162064
 169530BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,169530
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,177119
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,184409
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,191597
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,199074
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,206248
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,213804
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,221450
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,229058
BenchmarkGonomicsIntervalOverlapMem10mi_10mi-13        ,Gonomics4Worker,10000000,10000000,236285
 243725BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,243725
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,250863
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,258119
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,265093
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,272442
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,279578
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,286516
